input file,prediction_fraction,k,comp_time,random_prediction_dataset,min_max_normalization,holidays_flag,join_holidays,month_flag,past_values,reduced size,best model,best model cross val score,best model test score,,,,,,,,,
Main_cbe_04.csv,0.25,5,0.02,FALSE,FALSE,TRUE,TRUE,TRUE,6,0,ExtraTreesRegressor,0.712276564,0.752701448,DummyRegressor,-0.096594199,ExtraTreesRegressor,0.712276564,,,,,
Main_cbe_04.csv,0.25,5,0.02,FALSE,FALSE,TRUE,TRUE,TRUE,7,0,ExtraTreesRegressor,0.710953308,0.747296101,DummyRegressor,-0.096731778,ExtraTreesRegressor,0.710953308,,,,,
Main_cbe_04.csv,0.25,5,0.02,FALSE,FALSE,TRUE,TRUE,TRUE,12,0,ExtraTreesRegressor,0.700642636,0.739855697,DummyRegressor,-0.097202889,ExtraTreesRegressor,0.700642636,,,,,
Main_cbe_04.csv,0.25,5,0.05,FALSE,FALSE,TRUE,TRUE,TRUE,3,0,ExtraTreesRegressor,0.722275311,0.749262672,DummyRegressor,-0.096239243,ExtraTreesRegressor,0.722275311,,,,,
Main_cbe_04.csv,0.25,5,0.5,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,GradientBoostingRegressor,0.702289106,0.699699341,DummyRegressor,-0.096193798,GradientBoostingRegressor,0.702289106,,,,,
Main_cbe_05.csv,0.25,5,0.1,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,ExtraTreesRegressor,0.879054302,0.88219296,DummyRegressor,-0.010774938,ExtraTreesRegressor,0.879054302,,,,,
Main_cbe_10.csv,0.25,5,0.01,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,ExtraTreesRegressor,0.6947602,0.798629015,DummyRegressor,-0.031798288,ExtraTreesRegressor,0.6947602,,,,,
Main_cbe_10.csv,0.25,5,0.01,FALSE,FALSE,TRUE,TRUE,TRUE,3,0,ExtraTreesRegressor,0.676571342,0.803557246,DummyRegressor,-0.031465215,ExtraTreesRegressor,0.676571342,,,,,
Main_cbe_05.csv,0.25,5,0.01,FALSE,FALSE,TRUE,TRUE,TRUE,3,0,ExtraTreesRegressor,0.87700179,0.883378419,DummyRegressor,-0.009231408,ExtraTreesRegressor,0.87700179,,,,,
Main_cbe_04.csv,0.25,5,0.01,FALSE,FALSE,TRUE,TRUE,TRUE,3,0,ExtraTreesRegressor,0.717145158,0.747332309,DummyRegressor,-0.097324246,ExtraTreesRegressor,0.717145158,,,,,
